region,date,min_temp,max_temp,status,dust,updated_at
청주,2026-09-21,15.8,27.1,대체로 맑음,좋음,2026-09-21 22:21:22
청주,2026-09-22,16.1,26.5,대체로 맑음,-,2026-09-21 22:21:22
청주,2026-09-23,16.3,26.3,대체로 맑음,-,2026-09-21 22:21:22
청주,2026-09-24,17.1,26.5,흐림,-,2026-09-21 22:21:22
청주,2026-09-25,18.5,25.4,가벼운 이슬비,-,2026-09-21 22:21:22
청주,2026-09-26,16.4,28.0,흐림,-,2026-09-21 22:21:22
청주,2026-09-27,18.7,29.0,가벼운 이슬비,-,2026-09-21 22:21:22
천안,2026-09-21,15.1,27.0,흐림,좋음,2026-09-21 22:21:24
천안,2026-09-22,15.2,26.5,대체로 맑음,-,2026-09-21 22:21:24
천안,2026-09-23,15.5,26.3,대체로 맑음,-,2026-09-21 22:21:24
천안,2026-09-24,16.4,25.6,흐림,-,2026-09-21 22:21:24
천안,2026-09-25,18.1,24.1,소나기,-,2026-09-21 22:21:24
천안,2026-09-26,16.1,26.7,흐림,-,2026-09-21 22:21:24
천안,2026-09-27,18.9,27.4,가벼운 이슬비,-,2026-09-21 22:21:24
전주,2026-09-21,16.1,28.0,맑음,좋음,2026-09-21 22:21:27
전주,2026-09-22,16.6,27.4,구름조금,-,2026-09-21 22:21:27
전주,2026-09-23,16.5,26.6,구름조금,-,2026-09-21 22:21:27
전주,2026-09-24,15.7,27.0,흐림,-,2026-09-21 22:21:27
전주,2026-09-25,18.4,25.0,보통 이슬비,-,2026-09-21 22:21:27
전주,2026-09-26,16.8,27.6,흐림,-,2026-09-21 22:21:27
전주,2026-09-27,19.0,27.9,소나기,-,2026-09-21 22:21:27
목포,2026-09-21,20.3,24.9,대체로 맑음,좋음,2026-09-21 22:21:30
목포,2026-09-22,21.0,26.0,대체로 맑음,-,2026-09-21 22:21:30
목포,2026-09-23,20.1,24.9,흐림,-,2026-09-21 22:21:30
목포,2026-09-24,19.3,27.5,흐림,-,2026-09-21 22:21:30
목포,2026-09-25,20.3,24.6,강한 이슬비,-,2026-09-21 22:21:30
목포,2026-09-26,19.4,26.2,가벼운 이슬비,-,2026-09-21 22:21:30
목포,2026-09-27,20.1,26.1,뇌우,-,2026-09-21 22:21:30
포항,2026-09-21,17.3,24.0,대체로 맑음,좋음,2026-09-21 22:21:32
포항,2026-09-22,19.3,24.4,대체로 맑음,-,2026-09-21 22:21:32
포항,2026-09-23,17.2,24.1,흐림,-,2026-09-21 22:21:32
포항,2026-09-24,15.5,27.8,흐림,-,2026-09-21 22:21:32
포항,2026-09-25,18.5,24.6,보통 이슬비,-,2026-09-21 22:21:32
포항,2026-09-26,16.8,25.4,흐림,-,2026-09-21 22:21:32
포항,2026-09-27,17.8,23.7,소나기,-,2026-09-21 22:21:32
창원,2026-09-21,15.2,27.0,대체로 맑음,좋음,2026-09-21 22:21:35
창원,2026-09-22,15.7,26.4,대체로 맑음,-,2026-09-21 22:21:35
창원,2026-09-23,15.3,26.0,구름조금,-,2026-09-21 22:21:35
창원,2026-09-24,14.9,28.8,흐림,-,2026-09-21 22:21:35
창원,2026-09-25,18.6,25.1,가벼운 이슬비,-,2026-09-21 22:21:35
창원,2026-09-26,18.5,27.0,흐림,-,2026-09-21 22:21:35
창원,2026-09-27,19.6,25.4,알수없음,-,2026-09-21 22:21:35
제주,2026-09-21,20.9,24.5,대체로 맑음,좋음,2026-09-21 22:21:37
제주,2026-09-22,20.8,25.2,구름조금,-,2026-09-21 22:21:37
제주,2026-09-23,20.7,24.8,구름조금,-,2026-09-21 22:21:37
제주,2026-09-24,20.1,25.7,가벼운 이슬비,-,2026-09-21 22:21:37
제주,2026-09-25,21.4,26.2,가벼운 이슬비,-,2026-09-21 22:21:37
제주,2026-09-26,21.7,23.9,알수없음,-,2026-09-21 22:21:37
제주,2026-09-27,22.8,27.9,뇌우,-,2026-09-21 22:21:37
