source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
팝가(Popga) | 팝업스토어,팝업스토어,싱글즈 스테이 팝업 -  Beauty & Tea,2026-03-27 ~ 2026-03-29,전연령,"서울 성동구 아차산로 120 | 위도:37.5439102588, 경도:127.0572232839",,라이프스타일 매거진 싱글즈의 시그니처 오프라인 행사 싱글즈 스테이 BEAUTY & TEA가 성수 틸테이블에서 오픈해요 💚✨ 다양한 뷰티 브랜드 존과 프렌즈 존 체험을 통해 제품을 직접 경험하고 브랜드 스토리까지 함께 만나보세요 🙌🏻,https://popga.co.kr/popup/5986,성수:1.0;싱글즈:1.0;싱글즈 스테이:1.0;Singles Stay:1.0;틸테이블:1.0;성수 팝업:1.0;뷰티 팝업:1.0;샘플링 이벤트:1.0;뷰티:1.0;couple_score:0.2;couple_signal_soft:1.0;pick_count:42;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,뷰티:1.0;화장품:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,데미안 허스트 전시 - 진실은 없어 그러나 모든 것은 가능하지,2026-03-20 ~ 2026-06-28,전연령,"서울 종로구 삼청로 30 | 위도:37.5786364957, 경도:126.9800753133",,세계적인 현대미술 작가 데이미언 허스트의 주요 작업을 한자리에서 만나볼 수 있는 전시 〈진실은 없어 그러나 모든 것은 가능하지〉가 국립현대미술관 서울에서 진행되고 있어요 🎨✨ 데이미언 허스트의 작품을 깊이 있게 감상해보세요 👀,https://popga.co.kr/popup/5985,종로:1.0;데이미언 허스트:1.0;국립현대미술관 서울:1.0;MMCA 서울:1.0;삼청동 전시:1.0;종로 전시:1.0;서울 전시:1.0;현대미술 전시:1.0;사전 예약:1.0;couple_score:0.8;couple_signal_soft:1.0;pick_count:22;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,문구/아트:1.0;예술/미술:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,스토케 팝업,2026-03-27 ~ 2026-04-05,전연령,"서울 송파구 올림픽로 240 | 위도:37.5119143221, 경도:127.0983017984",,"아이와 함께하는 작은 순간들, 스토케 팝업스토어가 롯데백화점 잠실점에 오픈합니다.👶🏻 룰렛 럭키 드로우와 다양한 이벤트가 가득✨ 잠실에서 만나요!🧡",https://popga.co.kr/popup/5984,잠실:1.0;스토케:1.0;스토케 코리아:1.0;stokke:1.0;롯데백화점 잠실점:1.0;잠실 팝업:1.0;키즈:1.0;family_oriented:1.0;pick_count:7;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,키즈/반려동물:1.0;패밀리/키즈:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,마커스 팝사이클 팝업,2026-03-13 ~ 2026-03-26,전연령,"대구 중구 달구벌대로 2077 | 위도:35.8666296004, 경도:128.5906257186",,마커스의 커스터마이징 자전거를 직접 체험해볼 수 있는 팝사이클 팝업이 더현대 대구에서 진행되고 있어요 🚲✨ 1억 가지 이상의 컬러 조합으로 나만의 자전거를 완성해보세요 🎨,https://www.instagram.com/p/DWGzhVBk00z,대구:1.0;마커스:1.0;MARCUS 팝업:1.0;더현대 대구:1.0;더현대 대구 팝업:1.0;대구 팝업:1.0;자전거 팝업:1.0;라이딩:1.0;스포츠:1.0;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,라이프스타일:1.0;스포츠/레저:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,삼성 Galaxy S26 Ultra X BTS THE CITY 이벤트,2026-03-20 ~ 2026-04-19,전연령,"서울 서초구 강남대로 411 | 위도:37.4991603195, 경도:127.0265108505",,삼성 강남에서 Galaxy S26 Ultra를 직접 체험하고 BTS THE CITY ARIRANG SEOUL 한정판 굿즈를 받아볼 수 있는 특별한 체험 이벤트가 진행되고 있어요 📱💜,https://www.instagram.com/p/DWF5OtdCSy8,강남:1.0;삼성:1.0;삼성전자 팝업:1.0;BTS 팝업:1.0;BTS THE CITY ARIRANG SEOUL:1.0;삼성 강남:1.0;강남 팝업:1.0;체험형 팝업:1.0;연예인:1.0;pick_count:4;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,디지털/테크:1.0;연예인/셀럽:1.0;모바일/IT기기:1.0;연예인:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,디즈니 팝업,2026-03-07 ~ 2026-05-05,전연령,"제주 제주시 공항로 2 | 위도:33.5068772956, 경도:126.4926205843",,"디즈니 캐릭터 굿즈를 한자리에서 만나볼 수 있는 디즈니 팝업스토어가 제주공항 1층에서 운영되고 있어요 ✈️✨ 주토피아, 토이스토리, 인사이드 아웃 등 인기 캐릭터 굿즈는 물론 제주공항 한정 미키마우스까지 함께 만나보세요 🩷",https://www.instagram.com/p/DWOE_p5k9mg,제주:1.0;디즈니:1.0;Disney 팝업:1.0;제주공항 디즈니 팝업:1.0;제주공항:1.0;제주 팝업:1.0;공항 팝업:1.0;캐릭터 팝업:1.0;캐릭터:1.0;couple_score:0.2;couple_signal_soft:1.0;pick_count:2;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,애니/캐릭터:1.0;캐릭터:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,마크모크 아카이브 세일,2026-03-27 ~ 2026-03-29,전연령,"서울 성북구 안암로5길 30 | 위도:37.5804735558, 경도:127.0236980536",,"마크모크에서 1년에 단 한 번 진행되는 오프라인 아카이브 세일이 성북 사옥에서 열립니다 👟✨ 최대 93% 할인과 3,000원 ~ 30,000원 균일가 상품은 물론, 선착순 럭키백 이벤트까지! 다양한 인기 아이템을 합리적인 가격으로 만나보세요 🛍️",https://www.instagram.com/p/DWOSegKEZNU,성북:1.0;마크모크:1.0;mac moc 팝업:1.0;마크모크 아카이브 세일:1.0;마크모크 사옥:1.0;성북 팝업:1.0;패션 팝업:1.0;패션:1.0;pick_count:3;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,패션:1.0;잡화(가방/신발/모자):1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,ABC마트 그랜드스테이지 플래그십 성수 이벤트,2026-03-26 ~ 2026-04-09,전연령,"서울 성동구 성수이로 69 | 위도:37.5413684085, 경도:127.0556109611",,"ABC마트 그랜드스테이지 플래그십 성수가 성수에 새롭게 오픈하며 다양한 오픈 기념 이벤트를 진행합니다 👟✨ 신상품 10% 할인과 구매 금액대별 추가 할인 혜택은 물론, DIY 체험과 포토존 이벤트까지 함께 마련되어 있어 쇼핑과 체험을 동시에 즐겨보세요 📸",https://www.instagram.com/p/DWOQxAkDdNK,성수:1.0;ABC마트:1.0;ABC MART 팝업:1.0;그랜드스테이지 성수:1.0;ABC마트 그랜드스테이지 성수:1.0;성수 팝업:1.0;신발 팝업:1.0;패션:1.0;couple_score:0.7;couple_signal_soft:1.0;pick_count:44;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,F&B:1.0;잡화(가방/신발/모자):1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,EPT 부산 스토어 오프닝 이벤트,2026-03-27 ~ 2026-04-19,전연령,"부산 중구 광복로 57-1 | 위도:35.0993740621, 경도:129.0315256515",,EPT 부산 스토어 오픈을 기념해 다양한 오프닝 이벤트가 함께 진행됩니다 🎉 부산 광복로에 새롭게 문을 연 EPT 스토어에서 오프닝 기간 동안만 만나볼 수 있는 특별한 혜택을 만나보세요 😊,https://www.instagram.com/p/DWDW6hKj2wU,부산:1.0;EPT:1.0;EPT BUSAN STORE OPENING EVENTS:1.0;광복로:1.0;부산 팝업:1.0;부산 중구 팝업:1.0;패션 팝업:1.0;패션:1.0;pick_count:1;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,패션:1.0;잡화(가방/신발/모자):1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,하이산 팝업,2026-03-27 ~ 2026-04-09,전연령,"대구 중구 달구벌대로 2077 | 위도:35.8666296004, 경도:128.5906257186",,하이산 팝업스토어가 더현대 대구에 팝업을 오픈해요 👜✨ V1 도트백과 깅엄체크백 일일 한정 수량 판매를 비롯해 26 SPRING 컬렉션과 베스트셀러 뉴컬러 제품까지 함께 만나보실 수 있어요 🌸 따뜻한 봄 시즌과 잘 어울리는 하이산의 다양한 가방 라인업을 만나보세요 😊,https://www.instagram.com/p/DWOHMCHkvHJ,대구:1.0;하이산:1.0;theHyundai DAEGU:1.0;더현대 대구:1.0;더현대대구 팝업:1.0;대구 팝업:1.0;가방:1.0;패션:1.0;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,패션:1.0;잡화(가방/신발/모자):1.0;의류:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,시만차 팝업,2026-04-03 ~ 2026-04-09,전연령,"서울 송파구 올림픽로 240 | 위도:37.5113096112, 경도:127.0981417512",,"시만차가 롯데백화점 잠실점에서 팝업을 오픈합니다 🙌🏻 초당옥수수빙수와 함께 처음 공개되는 시즌 한정 빙수, 음료와 디저트 메뉴까지! 잠실에서 시만차의 특별한 메뉴를 만나보세요 🌸",https://www.instagram.com/p/DWLHyJAE3G9/,잠실:1.0;시만차:1.0;simancha:1.0;롯데백화점 팝업:1.0;롯데백화점 잠실점:1.0;잠실 팝업:1.0;차:1.0;초당옥수수빙수:1.0;F&B:1.0;couple_score:1.0;couple_signal_soft:1.0;pick_count:4;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,F&B:1.0;카페/디저트/베이커리:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,불닭 팝업,2026-03-20 ~ 2026-03-24,전연령,"서울 성북구 오패산로3길 104 | 위도:37.6077665098, 경도:127.0342471278",,"삼양 불닭 팬들을 위한 특별한 체험형 공간 House of Burn이 삼양 라운드스퀘어 빌딩 1층에서 운영됩니다 🔥✨ 무료 불닭 시식은 물론, 포토존과 다양한 인터랙티브 등 불닭 브랜드를 색다르게 즐겨보세요 🍜",https://www.instagram.com/p/DWBVFoViekO/,성북:1.0;삼양 팝업:1.0;불닭 팝업:1.0;House of Burn:1.0;삼양라운드스퀘어:1.0;서울 팝업:1.0;성북 팝업:1.0;불닭볶음면:1.0;F&B:1.0;couple_score:0.7;couple_signal_soft:1.0;pick_count:5;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,F&B:1.0;과자/음료/편의점:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,메디큐브 성수 이벤트,2026-03-01 ~ 2026-03-31,전연령,"서울 성동구 성수이로7길 40 | 위도:37.5426424104, 경도:127.0534903833",,메디큐브 성수에서는 신제품 부스터 프로 X2 출시 기념 이벤트가 진행되고 있어요 ✨ 메디큐브의 다양한 디바이스와 스킨케어 제품을 직접 경험해보세요 🩷,https://popga.co.kr/popup/5974,성수:1.0;메디큐브:1.0;medicube 팝업:1.0;메디큐브 성수:1.0;성수 팝업:1.0;성수동 팝업:1.0;뷰티 팝업:1.0;디바이스:1.0;뷰티:1.0;couple_score:0.2;couple_signal_soft:1.0;pick_count:33;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,뷰티:1.0;뷰티소품/기기:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,토리든 커넥트 성수 이벤트,2026-03-20 ~ 2026-05-31,전연령,"서울 성동구 성수이로7가길 17 | 위도:37.541812763, 경도:127.0552666279",,토리든 커넥트 성수는 브랜드의 다양한 스킨케어 라인과 CORTIS 공간을 함께 경험해볼 수 있는 체험형 공간이 오픈했어요 ✨,https://www.instagram.com/p/DWK4IH_E28A,성수:1.0;토리든:1.0;torriden 팝업:1.0;토리든 커넥트 성수:1.0;성수 팝업:1.0;성수동 팝업:1.0;뷰티 팝업:1.0;스킨케어:1.0;뷰티:1.0;사전 예약:1.0;couple_score:0.2;couple_signal_soft:1.0;pick_count:209;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,뷰티:1.0;화장품:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,센티카 팝업,2026-03-20 ~ 2026-04-02,전연령,"부산 부산진구 중앙대로 672 | 위도:35.1530062217, 경도:129.0596063204",,센티카가 부산 서면 삼정타워에서 부산 첫 단독 팝업스토어를 선보입니다 🌿✨ 현장에서 다양한 향을 직접 시향해보며 나만의 취향에 맞는 향을 찾아보세요 🙌🏻,https://www.instagram.com/p/DWDo9DgCEpq,부산:1.0;센티카:1.0;scentica 팝업:1.0;삼정타워:1.0;서면 팝업:1.0;부산 팝업:1.0;향수 팝업:1.0;뷰티:1.0;couple_score:0.6;couple_signal_soft:1.0;pick_count:1;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,뷰티:1.0;향수:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,아임미미 팝업,2026-04-03 ~ 2026-04-11,전연령,"서울 성동구 연무장길 65 | 위도:37.5422600943, 경도:127.0568169335",,쉐딩 전문 브랜드 아임미미가 성수에서 팝업을 오픈해요! ✨ 많은 사랑을 받고 있는 베스트셀러 멀티스틱 쉐딩부터 치크와 하이라이터 기능을 함께 담은 캔디라이터까지 다양한 제품을 직접 체험해보세요 💄💖,https://www.instagram.com/p/DV8OwGOgQXC,성수:1.0;아임미미:1.0;IMMEME 팝업:1.0;우즈 유니버스:1.0;LECT 성수:1.0;성수 팝업:1.0;K뷰티:1.0;메이크업:1.0;couple_score:0.2;couple_signal_soft:1.0;pick_count:64;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,뷰티:1.0;화장품:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,위드썸 팝업 - 창원,2026-03-20 ~ 2026-04-02,전연령,"경남 창원시 성산구 상남로 121 | 위도:35.2241682586, 경도:128.6828551686",,"직장인들의 퇴근 욕구를 귀엽게 저격하는 위드썸 팝업스토어가 오픈했어요 💼💙 커스텀 키캡 키링 존부터 소소한 힐링을 더해줄 라이프스타일 굿즈까지 한 번에 만나볼 수 있어요 👖 보고, 만들고, 쇼핑하는 재미까지 모두 챙기고 싶다면 이번 위드썸 팝업으로 놀러오세요 🍀",https://www.instagram.com/p/DUH3zVrkye0https://www.instagram.com/p/DWD1bu1k5qL,창원:1.0;위드썸:1.0;withsome 팝업:1.0;롯데백화점 창원점:1.0;창원 팝업:1.0;키캡키링:1.0;캐릭터굿즈:1.0;문구:1.0;패션:1.0;couple_score:0.3;couple_signal_soft:1.0;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,패션:1.0;문구/아트:1.0;의류:1.0;문구:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,엔카 팝업,2026-03-18 ~ 2026-03-24,전연령,"서울 성동구 아차산로 116 | 위도:37.5440415512, 경도:127.0566276174",,"국내 대표 중고차 플랫폼 엔카가 첫 오프라인 팝업스토어를 성수에 오픈했어요 🚗✨ 해머게임 체험부터 키캡 키링 만들기, 차량 체험 콘텐츠까지 다양한 참여형 프로그램을 만나보세요 🎮🔑",https://www.instagram.com/reel/DWIZSPBkxKO,성수:1.0;엔카:1.0;ENCAR 팝업:1.0;ENCARAGE:1.0;성수 팝업:1.0;자동차:1.0;자동차체험:1.0;키캡:1.0;키캡 키링:1.0;pick_count:9;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,라이프스타일:1.0;스포츠/레저:1.0;popup:1.0,,
